지점명,일시,평균기온(℃),최고기온(℃)
서울,6/1/2005,19.8,24.2
서울,6/2/2005,19.1,22.2
서울,6/3/2005,18,22.6
서울,6/4/2005,19.5,23.6
서울,6/5/2005,22.8,29.1
서울,6/6/2005,22.2,27.1
서울,6/7/2005,21.7,25.1
서울,6/8/2005,23,27.7
서울,6/9/2005,23.6,28
서울,6/10/2005,19.1,23.1
서울,6/11/2005,21,26.8
서울,6/12/2005,21.8,27.5
서울,6/13/2005,24.8,31.3
서울,6/14/2005,24.1,31.8
서울,6/15/2005,21.2,24.3
서울,6/16/2005,21.2,25.2
서울,6/17/2005,22.5,26.3
서울,6/18/2005,23.1,27.2
서울,6/19/2005,23.6,29.3
서울,6/20/2005,23.6,29.5
서울,6/21/2005,24.5,29.1
서울,6/22/2005,24.1,29.2
서울,6/23/2005,24.4,30.8
서울,6/24/2005,25.9,32
서울,6/25/2005,25.4,29.2
서울,6/26/2005,24.7,29.1
서울,6/27/2005,22.7,24.2
서울,6/28/2005,23.8,28
서울,6/29/2005,22.8,24.3
서울,6/30/2005,25.7,31.1
