"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0세","2022년06월_계_1세","2022년06월_계_2세","2022년06월_계_3세","2022년06월_계_4세","2022년06월_계_5세","2022년06월_계_6세","2022년06월_계_7세","2022년06월_계_8세","2022년06월_계_9세","2022년06월_계_10세","2022년06월_계_11세","2022년06월_계_12세","2022년06월_계_13세","2022년06월_계_14세","2022년06월_계_15세","2022년06월_계_16세","2022년06월_계_17세","2022년06월_계_18세","2022년06월_계_19세","2022년06월_계_20세","2022년06월_계_21세","2022년06월_계_22세","2022년06월_계_23세","2022년06월_계_24세","2022년06월_계_25세","2022년06월_계_26세","2022년06월_계_27세","2022년06월_계_28세","2022년06월_계_29세","2022년06월_계_30세","2022년06월_계_31세","2022년06월_계_32세","2022년06월_계_33세","2022년06월_계_34세","2022년06월_계_35세","2022년06월_계_36세","2022년06월_계_37세","2022년06월_계_38세","2022년06월_계_39세","2022년06월_계_40세","2022년06월_계_41세","2022년06월_계_42세","2022년06월_계_43세","2022년06월_계_44세","2022년06월_계_45세","2022년06월_계_46세","2022년06월_계_47세","2022년06월_계_48세","2022년06월_계_49세","2022년06월_계_50세","2022년06월_계_51세","2022년06월_계_52세","2022년06월_계_53세","2022년06월_계_54세","2022년06월_계_55세","2022년06월_계_56세","2022년06월_계_57세","2022년06월_계_58세","2022년06월_계_59세","2022년06월_계_60세","2022년06월_계_61세","2022년06월_계_62세","2022년06월_계_63세","2022년06월_계_64세","2022년06월_계_65세","2022년06월_계_66세","2022년06월_계_67세","2022년06월_계_68세","2022년06월_계_69세","2022년06월_계_70세","2022년06월_계_71세","2022년06월_계_72세","2022년06월_계_73세","2022년06월_계_74세","2022년06월_계_75세","2022년06월_계_76세","2022년06월_계_77세","2022년06월_계_78세","2022년06월_계_79세","2022년06월_계_80세","2022년06월_계_81세","2022년06월_계_82세","2022년06월_계_83세","2022년06월_계_84세","2022년06월_계_85세","2022년06월_계_86세","2022년06월_계_87세","2022년06월_계_88세","2022년06월_계_89세","2022년06월_계_90세","2022년06월_계_91세","2022년06월_계_92세","2022년06월_계_93세","2022년06월_계_94세","2022년06월_계_95세","2022년06월_계_96세","2022년06월_계_97세","2022년06월_계_98세","2022년06월_계_99세","2022년06월_계_100세 이상"
"서울특별시 영등포구 (1156000000)","376,437","376,437","2,169","2,193","2,201","2,325","2,532","2,490","2,638","2,569","2,437","2,472","2,461","2,402","2,212","2,188","2,389","2,268","2,168","2,294","2,538","2,664","2,974","3,860","4,199","4,830","5,446","6,184","6,994","7,503","7,870","8,467","8,601","7,624","7,306","7,261","6,723","6,553","6,491","6,223","6,186","6,305","6,527","6,141","5,929","5,261","5,011","5,069","4,959","5,129","5,555","5,800","5,899","6,061","5,824","6,089","5,417","5,295","5,316","5,397","5,127","5,703","5,170","5,957","5,749","5,353","5,032","4,612","4,418","4,702","3,591","3,629","3,467","2,917","3,217","3,029","3,060","2,901","2,101","2,194","2,124","2,320","2,262","1,725","1,580","1,467","1,280","1,185","998","837","645","562","402","316","236","187","150","99","65","42","47","42","48"
"서울특별시 영등포구 영등포본동(1156051500)","21,224","21,224","109","115","135","126","148","123","148","135","110","136","129","109","112","99","121","99","92","134","140","171","158","254","245","253","261","306","320","347","343","334","375","316","317","309","303","326","308","344","308","331","365","324","283","278","259","281","265","254","325","343","369","376","364","383","349","353","349","356","333","388","349","421","389","345","362","308","331","342","222","241","250","193","236","222","204","183","138","140","143","166","146","121","86","76","90","80","66","57","36","27","27","18","15","10","11","8","3","3","1","9","3"
"서울특별시 영등포구 영등포동(1156053500)","29,481","29,481","159","114","141","118","125","125","116","116","103","77","88","89","71","73","66","93","76","74","97","116","162","274","372","485","675","890","1,040","1,171","1,242","1,338","1,263","1,098","950","851","778","705","639","537","508","435","491","448","422","321","291","317","293","293","343","353","364","353","337","363","346","299","339","340","330","330","358","347","340","320","338","288","251","264","221","232","188","158","169","160","163","145","101","106","122","116","96","90","62","59","64","53","44","51","30","28","17","18","16","14","12","6","4","3","2","2","0"
"서울특별시 영등포구 여의동(1156054000)","32,746","32,746","146","176","171","248","255","276","294","308","311","332","346","316","326","303","287","292","279","256","280","241","292","322","315","321","358","339","392","386","406","431","473","447","406","476","422","442","449","480","534","538","610","561","535","579","474","501","501","506","499","523","555","559","553","555","537","477","469","484","496","501","480","464","481","454","420","414","440","402","337","349","294","251","284","272","296","300","235","243","199","221","208","201","202","175","149","147","157","128","86","72","64","49","30","17","19","16","10","8","12","7","6"
"서울특별시 영등포구 당산제1동(1156055000)","20,367","20,367","130","108","104","119","107","88","95","109","87","93","88","96","86","68","100","88","79","86","116","124","168","185","212","263","324","362","416","456","490","554","582","494","481","487","427","407","423","350","347","313","327","337","278","267","224","282","242","244","283","279","314","317","307","326","281","274","317","300","263","276","283","329","303","303","271","273","245","274","211","194","193","171","173","151","157","156","119","128","103","107","110","97","94","75","72","61","58","51","39","27","26","18","9","14","6","5","3","1","1","4","2"
"서울특별시 영등포구 당산제2동(1156056000)","37,514","37,514","241","255","260","273","296","251","273","259","248","286","270","244","216","235","265","221","178","216","222","250","268","393","459","595","622","770","916","1,005","1,042","1,147","1,087","993","908","932","796","736","736","658","720","660","648","636","637","509","500","466","449","489","468","466","520","551","526","491","459","445","445","454","425","511","433","466","496","404","406","377","352","349","266","315","293","229","247","221","218","226","171","151","155","165","158","119","116","97","103","106","69","69","49","54","30","25","17","25","11","8","7","3","4","4","3"
"서울특별시 영등포구 도림동(1156058500)","17,822","17,822","92","92","81","92","81","82","98","89","83","70","86","91","72","69","83","82","80","82","123","121","129","176","185","231","248","269","327","379","343","417","414","354","324","353","307","323","266","280","276","303","304","258","247","216","232","212","273","219","263","304","349","326","299","294","294","263","280","306","266","288","263","303","314","303","241","222","201","220","190","184","195","125","181","159","164","151","111","122","115","140","121","103","83","83","77","75","45","43","31","29","21","17","17","7","9","3","0","1","4","2","1"
"서울특별시 영등포구 문래동(1156060500)","32,514","32,514","247","251","287","281","338","331","353","349","350","361","342","315","303","305","296","306","284","253","278","291","268","310","337","320","323","346","341","418","440","450","530","459","541","592","561","566","609","635","624","728","710","676","677","615","602","555","522","551","547","560","541","524","493","515","417","355","369","400","374","380","324","407","385","363","388","345","340","375","290","281","275","227","248","217","235","205","158","164","172","178","155","124","107","105","98","91","71","68","56","32","29","28","19","15","12","5","6","3","2","1","8"
"서울특별시 영등포구 양평제1동(1156061000)","18,378","18,378","162","162","124","114","134","109","127","121","103","122","95","120","96","84","98","103","74","105","113","110","152","171","199","237","259","333","358","384","412","506","502","522","482","538","490","459","456","414","369","390","391","353","341","306","289","269","270","253","253","289","250","234","237","236","227","193","181","167","191","186","185","214","195","186","162","150","162","173","154","146","131","104","133","105","131","121","76","86","85","85","110","63","69","70","41","50","33","29","24","21","14","12","8","5","7","4","3","3","2","0","1"
"서울특별시 영등포구 양평제2동(1156062000)","22,322","22,322","161","166","176","145","154","139","166","149","125","141","126","147","123","116","144","130","147","167","172","168","188","255","246","301","335","373","446","461","540","591","638","591","626","553","553","550","520","474","447","403","455","383","322","297","281","334","318","280","332","319","313","354","323","378","276","301","278","278","255","255","249","308","284","285","238","206","188","214","149","153","125","115","131","130","136","103","85","97","76","92","86","66","63","73","46","49","37","25","26","33","15","17","12","4","11","4","0","3","1","0","2"
"서울특별시 영등포구 신길제1동(1156063000)","17,375","17,375","56","51","41","58","46","53","57","46","50","46","69","77","59","77","61","72","68","85","99","120","142","204","219","252","317","344","459","494","499","506","519","420","369","345","338","253","248","223","203","244","218","247","243","200","203","205","227","242","267","286","251","275","255","274","235","245","230","238","218","271","250","293","305","273","235","222","198","261","163","182","153","155","148","169","175","162","97","130","124","133","143","95","96","82","79","65","64","40","44","42","18","21","12","8","4","5","1","1","2","2","4"
"서울특별시 영등포구 신길제3동(1156065000)","16,480","16,480","98","85","104","111","116","124","124","125","114","101","122","107","96","92","127","96","102","99","110","116","145","147","156","181","224","194","244","229","267","262","303","262","249","234","224","244","237","239","248","262","262","228","267","237","215","192","230","220","255","264","269","297","273","301","260","258","282","283","285","295","259","308","304","274","257","266","261","250","184","162","156","163","179","140","137","132","120","121","116","131","137","83","73","62","53","52","52","29","35","19","19","14","7","8","5","8","3","1","1","2","4"
"서울특별시 영등포구 신길제4동(1156066000)","12,380","12,380","70","74","56","77","92","103","102","90","79","89","78","79","99","84","91","72","69","74","79","79","100","115","122","143","159","166","163","167","175","203","190","166","199","151","181","173","197","194","187","195","199","208","225","166","167","188","155","188","181","203","215","207","187","221","196","192","195","215","194","210","208","232","236","235","188","196","191","198","144","107","150","100","116","119","123","111","72","81","75","91","83","65","67","53","45","39","30","32","19","19","18","11","6","7","5","1","3","2","2","3","3"
"서울특별시 영등포구 신길제5동(1156067000)","10,413","10,413","49","66","67","56","76","103","96","84","75","71","77","80","69","65","82","70","74","73","82","77","77","101","118","122","125","114","124","131","147","151","139","130","149","146","126","120","131","145","164","155","185","185","166","137","157","158","146","137","152","176","175","178","170","173","181","177","170","164","158","200","187","211","193","166","194","160","148","160","127","126","129","92","109","100","96","90","70","71","68","65","74","46","37","56","31","37","25","16","22","16","7","4","6","8","7","4","0","2","0","0","1"
